[CH3]C(=O)[NH][CH2][CH2][NH]C(=O)[CH3]  CC(=O)NCCNC(C)=O  ABAWEG01
[CH3][CH2][CH2][CH2][CH2][CH2][CH2][CH2]Oc1[cH][cH][cH]c2c(O[CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH3])[cH][cH][cH]c12  CCCCCCCCOc1cccc2c(OCCCCCCCC)cccc12  UNAMOM
[CH3][CH2][CH2][CH2]n1c(=O)c2[cH][cH]c3c(=O)n([CH2][CH2][CH2][CH3])c(=O)c4[cH][cH]c(c1=O)c2c34  CCCCN1C(=O)c2ccc3C(=O)N(CCCC)C(=O)c4ccc(C1=O)c2c34  UNANAZ
[CH3][CH]1[CH2][CH2][CH2][CH]2[CH2]C(=O)C3(OC3([CH3])[CH3])[CH](OC(=O)[CH3])C12[CH3]  CC1CCCC2CC(=O)C3(OC3(C)C)C(OC(C)=O)C12C  UNEGUQ
[CH3]C(=O)O[CH2][CH]1O[CH](Oc2[cH][cH]c([CH]=O)[cH][cH]2)[CH](OC(=O)[CH3])[CH](OC(=O)[CH3])[CH]1OC(=O)[CH3]  CC(=O)OCC1OC(Oc2ccc(C=O)cc2)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O  UNUKIY
[OH]c1[cH][cH][cH]c2[CH2][CH2]C(=O)c12  Oc1cccc2CCC(=O)c12  UPACUK
[CH3][CH]([OH])[CH2][CH2]c1[cH][cH]c([OH])[cH][cH]1  CC(O)CCc1ccc(O)cc1  UPAHUP
[cH]1[cH]n(n[cH]1)c1[cH]c([cH]c(n1)n1[cH][cH][cH]n1)c1[cH]c(nc([cH]1)n1[cH][cH][cH]n1)n1[cH][cH][cH]n1  C1=CN(N=C1)c1cc(cc(n1)N1C=CC=N1)c1cc(nc(c1)N1C=CC=N1)N1C=CC=N1  UPEHED
[cH]1[cH]n(nn1)N=Nn1[cH][cH]nn1  C1=CN(N=N1)N=NN1C=CN=N1  UPIDED
[CH3]C(=N[NH]c1[cH][cH][cH][cH][cH]1)C(=O)[OH]  CC(=NNc1ccccc1)C(O)=O  URECOK
[CH3][CH2][CH2][CH]1OOC2([CH2][CH2][CH2][CH2][CH2]2)OO1  CCCC1OOC2(CCCCC2)OO1  USAHUS
[CH3]OC(=O)C1([CH2][CH]([CH3])[CH3])N=C([CH3])OC21C(=O)N([CH3])C(=O)c1[cH][cH][cH][cH]c21  COC(=O)C1(CC(C)C)N=C(C)OC21C(=O)N(C)C(=O)c1ccccc21  USOGEP
[CH3][CH2]OC(=O)C1([CH2]C(=O)[CH]2[CH]3[CH2][CH]([CH]=[CH]3)[CH]12)[CH2]N(=O)=O  CCOC(=O)C1(CC(=O)C2C3CC(C=C3)C12)CN(=O)=O  USOKIX
O=C(ON=[CH]c1[cH]c2O[CH2]Oc2[cH]c1c1[cH][cH][cH][cH][cH]1)Oc1[cH][cH][cH][cH][cH]1  O=C(ON=Cc1cc2OCOc2cc1c1ccccc1)Oc1ccccc1  UVIPEV
[OH]C1(c2[cH][cH][cH][cH][cH]2)C(=O)C(c2[cH][cH][cH][cH][cH]2)(c2[cH][cH][cH][cH][cH]2)c2[cH][cH][cH][cH]c12  OC1(c2ccccc2)C(=O)C(c2ccccc2)(c2ccccc2)c2ccccc12  UVONID
[CH3]Oc1[cH][cH]c([cH][cH]1)n1c(=O)c2[cH][cH]c3[cH][cH][cH][cH]c3c2c2c1[cH][cH]c1[cH][cH][cH][cH]c21  COc1ccc(cc1)N1C(=O)c2ccc3ccccc3c2c2c1ccc1ccccc21  UWEQOD
[CH3][CH2]C(=O)[NH]N(=O)=O  CCC(=O)NN(=O)=O  UXIJIV
[CH3]C([CH2]N1C(=O)c2[cH][cH][cH][cH]c2C1=O)([CH]=[CH2])[CH]([OH])c1[cH][cH]c([cH][cH]1)N(=O)=O  CC(CN1C(=O)c2ccccc2C1=O)(C=C)C(O)c1ccc(cc1)N(=O)=O  UXOQUU
[CH3]n1[cH]c(nc1[CH]1O[CH2][CH2]O1)N(=O)=O  CN1C=C(N=C1C1OCCO1)N(=O)=O  UXUGAW
[CH3][CH2]OC(=O)[CH]=[CH][CH]([CH2][CH]([CH3])[CH3])[NH]C(=O)[CH]=[CH][CH]([CH2][CH]([CH3])[CH3])[NH]C(=O)OC([CH3])([CH3])[CH3]  CCOC(=O)C=CC(CC(C)C)NC(=O)C=CC(CC(C)C)NC(=O)OC(C)(C)C  UYIHAM
[CH3]C1([OH])[CH]([CH2]N2[CH2][CH2][CH2][CH2]2)[CH]=C([CH2][CH2]c2[cH][cH][cH][cH][cH]2)C1=O  CC1(O)C(CN2CCCC2)C=C(CCc2ccccc2)C1=O  UZEVAX
[CH3]OC1([CH3])O[CH]2[CH2]C(=O)C(=[CH][CH]2OC1([CH3])O[CH3])[CH2][OH]  COC1(C)OC2CC(=O)C(=CC2OC1(C)OC)CO  VADPUN
[CH3]C([CH3])([CH3])c1[cH][cH]c([cH][cH]1)c1c2c(=O)[nH]c(c2c(=O)[nH]1)c1[cH][cH][cH][cH][cH]1  CC(C)(C)c1ccc(cc1)C1=C2C(=O)NC(=C2C(=O)N1)c1ccccc1  VAGPEZ
[OH]c1[cH][cH]c([cH][cH]1)C1=N[CH]1c1[cH][cH][cH][cH][cH]1  Oc1ccc(cc1)C1=NC1c1ccccc1  VAGVEG
O=c1oc(=O)c2[cH][cH][cH][cH]c2c2[cH][cH][cH][cH]c12  O=C1OC(=O)c2ccccc2c2ccccc12  VAHVUX
[NH3+][CH]([CH]([CH3])[CH3])C(=O)[O-]  [NH3+]C(C(C)C)C(=O)[O-]  VALIDL03
[CH3][CH]1[CH2][CH]2[CH]3[CH2][CH]=C4[CH2][CH]([OH])[CH2][CH2]C4([CH3])[CH]3[CH2][CH2]C2([CH3])[CH]1C(=O)[CH3]  CC1CC2C3CC=C4CC(O)CCC4(C)C3CCC2(C)C1C(C)=O  VARWUG01
O=c1[nH]c(c2c(=O)[nH]c(c12)c1[cH][cH][cH]n[cH]1)c1[cH][cH][cH]n[cH]1  O=C1NC(=C2C(=O)NC(=C12)c1cccnc1)c1cccnc1  VAZPAO
[OH]c1[cH][cH]c([O-])c([CH]=[NH+]c2[cH][cH][cH][cH]c2N=[CH]c2[cH]c([OH])[cH][cH]c2[OH])[cH]1  Oc1ccc([O-])c(C=[NH+]c2ccccc2N=Cc2cc(O)ccc2O)c1  VEFTEG
[CH2]=N[NH]c1[cH][cH]c([cH]c1N(=O)=O)N(=O)=O  C=NNc1ccc(cc1N(=O)=O)N(=O)=O  VETLIQ
[NH3+][CH]([CH2]C(=O)[NH2])C(=O)[O-]  [NH3+]C(CC(N)=O)C(=O)[O-]  VIKKEG
[OH]C12[CH2][CH2]O[CH]1[CH2]C(=O)[CH]1O[CH]21  OC12CCOC1CC(=O)C1OC21  VISDIL
O=N(=O)N=c1[nH]nn[nH]1  O=N(=O)N=C1NN=NN1  VIWRAV
[CH3][CH2]OC(=NC#N)[NH2]  CCOC(N)=NC#N  VODJEE
[NH2][NH]C(=O)[NH]n1nnnc1[NH2]  NNC(=O)NN1N=NN=C1N  VODWER
[CH3][CH]([CH3])[CH2][CH]1N([CH2][CH]2[CH2]C12[OH])[CH2]c1[cH][cH][cH][cH][cH]1  CC(C)CC1N(CC2CC12O)Cc1ccccc1  VOFSIT
[CH3][CH2][CH]([CH3])[CH]1N([CH2][CH]2[CH2]C12[OH])[CH2]c1[cH][cH][cH][cH][cH]1  CCC(C)C1N(CC2CC12O)Cc1ccccc1  VOFSOZ
[CH3][CH2]OC(=O)[CH]=C(N1C(=O)c2[cH][cH][cH][cH]c2C1=O)c1[cH][cH][cH][cH][cH]1  CCOC(=O)C=C(N1C(=O)c2ccccc2C1=O)c1ccccc1  VOHJOS
[CH3][CH2]OC(=O)[CH]=C([CH3])N1C(=O)c2[cH][cH][cH][cH]c2C1=O  CCOC(=O)C=C(C)N1C(=O)c2ccccc2C1=O  VOHJUY
[CH3]Oc1[cH][cH]c([cH][cH]1)[CH]=[CH]N(=O)=O  COc1ccc(cc1)C=CN(=O)=O  VOPXAZ02
[CH3]O[CH]1[CH2][CH2][CH2][CH]2[CH]1[CH](OC(=O)c1[cH][cH][cH][cH][cH]1)C(=C1C3([OH])[CH2][CH]4[CH2][CH]5[CH]3[CH2][CH2][CH]([CH3])N5C214)C(=O)O[CH3]  COC1CCCC2C1C(OC(=O)c1ccccc1)C(=C1C3(O)CC4CC5C3CCC(C)N5C214)C(=O)OC  VUGVAV
[CH3][CH]1N(C(=O)c2[cH][cH][cH]c3[cH][cH][cH][cH]c23)C([CH3])([CH3])OC1=O  CC1N(C(=O)c2cccc3ccccc23)C(C)(C)OC1=O  VUMXEH
[NH2]n1[cH]nnc1[NH2]  NN1C=NN=C1N  VUPTAC02
[OH][CH]1[CH]2[CH2][CH]3[CH]1N(C(=O)[CH]3[CH]2C(=O)[OH])c1[cH][cH][cH]c([cH]1)N(=O)=O  OC1C2CC3C1N(C(=O)C3C2C(O)=O)c1cccc(c1)N(=O)=O  VUSWAI
[OH][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2]n1[cH][cH]n[cH]1  OCCCCCCCCCCN1C=CN=C1  VUVREK
[CH2]1[CH2][NH]C([NH][CH2]1)(c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH]n1  C1CNC(NC1)(c1ccccc1)c1ccccn1  WACYUW
[CH3]Oc1[cH][cH]c([cH][cH]1)[n+]1noc([cH]1)[O-]  COc1ccc(cc1)[N+]1=NOC(=C1)[O-]  WADNOG
[CH3]Oc1[cH][cH]c(c([CH]=O)[cH]1)c1[cH][cH]c(O[CH3])c(O[CH3])c1O[CH3]  COc1ccc(c(C=O)c1)c1ccc(OC)c(OC)c1OC  WAFXIL
[CH3][CH2]OC(=O)C(=O)[NH][CH]1[CH2][CH2][CH]([CH2][CH2]1)[NH]C(=O)C(=O)O[CH2][CH3]  CCOC(=O)C(=O)NC1CCC(CC1)NC(=O)C(=O)OCC  WAVYOI
N#Cc1[cH][cH]c([CH]=[CH]c2[cH][cH]c([cH][cH]2)C#N)[cH][cH]1  N#Cc1ccc(C=Cc2ccc(cc2)C#N)cc1  WEFBIT
[CH3]c1[cH][cH]c([cH][cH]1)C(=[CH][CH]=[CH][CH]=C([NH2])c1[cH][cH]c([CH3])[cH][cH]1)[NH2]  Cc1ccc(cc1)C(N)=CC=CC=C(N)c1ccc(C)cc1  WELZAO
[OH][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][OH]  OCCCCCCCCCCO  WESTIX
[OH]c1[cH][cH]c([cH][cH]1)C1([CH2][CH2][CH2][CH2][CH2]1)c1[cH][cH]c([OH])[cH][cH]1  Oc1ccc(cc1)C1(CCCCC1)c1ccc(O)cc1  WETFAD01
[NH2]C(=[NH2+])C(=O)[O-]  NC(=[NH2+])C(=O)[O-]  WETGAE
[CH3][CH2]N([CH2][CH3])C(=O)c1[cH][cH][cH]c(n1)c1nn([CH2]c2[cH][cH]c([CH2]n3[cH][cH]c(n3)c3[cH][cH][cH]c(n3)C(=O)N([CH2][CH3])[CH2][CH3])[cH][cH]2)[cH][cH]1  CCN(CC)C(=O)c1cccc(n1)C1=NN(Cc2ccc(CN3C=CC(=N3)c3cccc(n3)C(=O)N(CC)CC)cc2)C=C1  WEZJIV
[CH3]Oc1[cH][cH]c([cH][cH]1)[CH]([CH3])N1[CH]([CH2][CH2][CH]1C#[CH])C#[CH]  COc1ccc(cc1)C(C)N1C(CCC1C#C)C#C  WIDSOS
[CH3]c1[cH]c(=O)oc2[cH]c([NH2])[cH][cH]c12  CC1=CC(=O)Oc2cc(N)ccc12  WIKDEZ01
O=C1[CH]2[CH2][CH2][CH2][CH]1[CH2][CH2][CH2]2  O=C1C2CCCC1CCC2  WIQCUU
[CH3]C(=O)c1c([OH])c2[cH][cH][cH][cH]c2oc1=O  CC(=O)C1=C(O)c2ccccc2OC1=O  WOKPER02
[CH3][CH2]OC1=NC(=[CH]c2c([CH3])c(c([CH3])[nH]2)[CH2][CH3])C(=C1[CH3])[CH2][CH3]  CCOC1=NC(=CC2=C(C)C(=C(C)N2)CC)C(=C1C)CC  WOKPES
[CH3][CH]1[CH2][CH](OC1=O)[CH]1[CH2][CH2][CH]2N1C(=O)[CH2][CH2]C12[CH2][CH]([CH3])C(=O)O1  CC1CC(OC1=O)C1CCC2N1C(=O)CCC12CC(C)C(=O)O1  WONJUF
[OH]C12[CH2][CH2][CH2][CH]([CH2]C(=N1)c1[cH][cH][cH][cH][cH]1)[CH2]2  OC12CCCC(CC(=N1)c1ccccc1)C2  WULTED
[CH2]1[CH]2[CH2][CH]3[CH]4[CH2][CH]5[CH]6[CH2][CH]7[CH]8[CH2][CH]9[CH2][CH]7C([CH2]2)([CH]6[CH]14)C3([CH2]9)[CH]58  C1C2CC3C4CC5C6CC7C8CC9CC7C(C2)(C6C14)C3(C9)C58  WULYEI
[NH2]c1n[cH]nc2n([CH2]C#[CH])[cH]nc12  Nc1ncnc2N(CC#C)C=Nc12  WUSGOH
[CH2](n1[cH][cH]n[cH]1)c1c2[cH][cH][cH][cH]c2c([CH2]n2[cH][cH]n[cH]2)c2[cH][cH][cH][cH]c12  C(N1C=CN=C1)c1c2ccccc2c(CN2C=CN=C2)c2ccccc12  WUTGUO
O=C1O[CH2][CH]([CH2][CH]2[CH2]C12N(=O)=O)N1C(=O)c2[cH][cH][cH][cH]c2C1=O  O=C1OCC(CC2CC12N(=O)=O)N1C(=O)c2ccccc2C1=O  WUWHIG
O=N(=O)c1[cH][cH]c([O-])c([CH]=[NH+][CH]2[CH2][CH2][CH2][CH2][CH2]2)[cH]1  O=N(=O)c1ccc([O-])c(C=[NH+]C2CCCCC2)c1  XABCUZ
O=C1[CH]2[CH2][CH2][CH2][CH2][CH]([CH2]2)C(=O)N1c1[cH][cH]c2O[CH2]Oc2[cH]1  O=C1C2CCCCC(C2)C(=O)N1c1ccc2OCOc2c1  XACNIA
O=N(=O)c1[cH][cH]c([cH][cH]1)C(=[CH]c1[cH][cH][cH][cH][cH]1)C#N  O=N(=O)c1ccc(cc1)C(=Cc1ccccc1)C#N  XACQEZ
[CH3]On1nn[nH]c1=NN(=O)=O  CON1N=NNC1=NN(=O)=O  XAJHEX
[CH3]Oc1[cH][cH]c2OC3([CH2][CH2]c2[cH]1)[CH2][CH2]c1[cH][cH][cH]c(O[CH3])c1O3  COc1ccc2OC3(CCc2c1)CCc1cccc(OC)c1O3  XALYOZ
O1[CH]2[CH]1[CH]1[CH]3[CH]4O[CH]4[CH]2[CH]2O[CH]2[CH]13  O1C2C1C1C3C4OC4C2C2OC2C13  XAMZIV
[CH3]c1[cH][cH]nc([cH]1)c1[cH]c([cH][cH]n1)C(=O)[NH][CH2][CH2][NH]C(=O)OC([CH3])([CH3])[CH3]  Cc1ccnc(c1)c1cc(ccn1)C(=O)NCCNC(=O)OC(C)(C)C  XAPLOQ
[NH2]C(=O)[CH2]N=[N+]=[N-]  NC(=O)CN=[N+]=[N-]  XAVZUP
[CH3]N([CH3])c1[cH][cH][cH]c2c([NH+]=[CH]c3[cH]c([cH][cH]c3[O-])N(=O)=O)[cH][cH]c(N([CH3])[CH3])c12  CN(C)c1cccc2c([NH+]=Cc3cc(ccc3[O-])N(=O)=O)ccc(N(C)C)c12  XEBRIG
[CH3]OC(=O)c1[cH]c(nc([CH]=[CH]c2[cH][cH]c([CH3])[cH][cH]2)c1C(=O)O[CH3])N([CH3])[CH3]  COC(=O)c1cc(nc(C=Cc2ccc(C)cc2)c1C(=O)OC)N(C)C  XEJBIY
[CH3]C(=C(OC(=O)c1[cH][cH]c([cH][cH]1)N(=O)=O)C#CC(=C([CH3])[CH3])OC(=O)c1[cH][cH]c([cH][cH]1)N(=O)=O)[CH3]  CC(C)=C(OC(=O)c1ccc(cc1)N(=O)=O)C#CC(OC(=O)c1ccc(cc1)N(=O)=O)=C(C)C  XEKMAC
[CH3]Oc1[cH]c([cH]c(O[CH3])c1O[CH3])C#Cc1c2[cH][cH][cH][cH]c2c(C#Cc2[cH]c(O[CH3])c(O[CH3])c(O[CH3])[cH]2)c2[cH][cH][cH][cH]c12  COc1cc(cc(OC)c1OC)C#Cc1c2ccccc2c(C#Cc2cc(OC)c(OC)c(OC)c2)c2ccccc12  XEPYAT
[CH3]c1nn[cH]c(n1)c1[cH]nnc([CH3])n1  Cc1nncc(n1)c1cnnc(C)n1  XICVOV
[CH3]C12[CH2][CH2][CH]3[CH]([CH2]C(=O)[CH]4[CH2]C(=O)[CH2][CH]=C3[CH2]4)[CH]1[CH2][CH2]C2=O  CC12CCC3C(CC(=O)C4CC(=O)CC=C3C4)C1CCC2=O  XIGHUR
[CH3]Oc1[cH]c([CH]=O)[cH]c([OH])c1[OH]  COc1cc(C=O)cc(O)c1O  XIGWAM
[OH][CH]1[CH2][CH2]C([CH2][CH2]1)(c1[cH][cH]c([OH])[cH][cH]1)c1[cH][cH]c([OH])[cH][cH]1  OC1CCC(CC1)(c1ccc(O)cc1)c1ccc(O)cc1  XIJFEB
[CH3]c1[cH]c([CH3])c(C#N)c(O[CH2][CH2]N2C(=O)c3[cH][cH][cH][cH]c3C2=O)n1  Cc1cc(C)c(C#N)c(OCCN2C(=O)c3ccccc3C2=O)n1  XIMSUI
O=C([NH]N(=O)=O)[NH]N(=O)=O  O=C(NN(=O)=O)NN(=O)=O  XIXQOL
O=C(Oc1[cH][cH][cH][cH]c1[CH]=NN=[CH]c1[cH][cH][cH][cH]c1OC(=O)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  O=C(Oc1ccccc1C=NN=Cc1ccccc1OC(=O)c1ccccc1)c1ccccc1  XIYYIO
[CH3]OC1([OH])[CH](OC(=O)[CH3])[CH]([CH2]OC21[CH2]OC([CH3])([CH3])O2)OC(=O)[CH3]  COC1(O)C(OC(C)=O)C(COC21COC(C)(C)O2)OC(C)=O  XOCFEB
[CH3]OC(=O)C(=[CH]c1[cH][cH]c([cH][cH]1)N(=O)=O)C(=O)O[CH3]  COC(=O)C(=Cc1ccc(cc1)N(=O)=O)C(=O)OC  XOCYOE
[CH3][CH]1[CH](OC(=O)[CH3])[CH](c2[cH][cH][cH][cH][cH]2)C1([OH])c1[cH][cH][cH][cH][cH]1  CC1C(OC(C)=O)C(c2ccccc2)C1(O)c1ccccc1  XOHGAD
[CH3]OC(=O)C([OH])([CH]1OC(=O)[CH]=[CH]1)c1[cH][cH][cH][cH][cH]1  COC(=O)C(O)(C1OC(=O)C=C1)c1ccccc1  XOHHEI
[CH3]OC(=O)C1=[CH]c2[cH][cH]c([CH2][CH2][CH2][CH2]N(C(=O)OC([CH3])([CH3])[CH3])C(=[CH]c3[cH][cH]c([CH2][CH2][CH2][CH2]N1C(=O)OC([CH3])([CH3])[CH3])[cH][cH]3)C(=O)O[CH3])[cH][cH]2  COC(=O)C1=Cc2ccc(CCCCN(C(=O)OC(C)(C)C)C(=Cc3ccc(CCCCN1C(=O)OC(C)(C)C)cc3)C(=O)OC)cc2  XONMES
[OH][CH]1[CH2]O[CH](O[CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2]O[CH]2O[CH2][CH]([OH])[CH]=[CH]2)[CH]=[CH]1  OC1COC(OCCCCCCCCCCCCOC2OCC(O)C=C2)C=C1  XONVAY
[CH3]C(=Nn1nnnc1[NH2])[CH3]  CC(C)=NN1N=NN=C1N  XOYWEO
O=N(=O)[CH]=[CH]c1[cH][cH][cH]o1  O=N(=O)C=CC1=CC=CO1  XOZBUK
[CH2]=[CH]C1=NO[CH]([CH2]1)c1noc([cH]1)N(=O)=O  C=CC1=NOC(C1)C1=NOC(=C1)N(=O)=O  XUHREX
[CH3]OC(=O)c1[cH]c([CH3])nc2n([cH]c(C#N)c12)C([CH3])([CH3])[CH3]  COC(=O)c1cc(C)nc2N(C=C(C#N)c12)C(C)(C)C  XUKJIX
[CH2]([CH2]n1n[cH]nn1)n1n[cH]nn1  C(CN1N=CN=N1)N1N=CN=N1  XUQLUQ
[CH3]c1[cH][cH][cH][cH]c1[CH]=Nn1[cH]nn[cH]1  Cc1ccccc1C=NN1C=NN=C1  XURZUF
[CH3]O[CH]1O[CH2][CH]([OH])[CH]([OH])[CH]1[OH]  COC1OCC(O)C(O)C1O  XYLOBM02
[CH]#C[CH2]Oc1[cH][cH]c([cH][cH]1)[CH]=NN=[CH]c1[cH][cH]c(O[CH2]C#[CH])[cH][cH]1  C#CCOc1ccc(cc1)C=NN=Cc1ccc(OCC#C)cc1  YAGJEX
[CH3]OC(=O)[NH]c1[cH][cH][cH][cH]c1[NH]C(=O)O[CH3]  COC(=O)Nc1ccccc1NC(=O)OC  YAGLAU
[CH3]c1[cH]c(nc([NH][CH2]c2[cH][cH][cH][cH][cH]2)n1)c1[cH][cH][cH][cH][cH]1  Cc1cc(nc(NCc2ccccc2)n1)c1ccccc1  YAGPON
[CH3][CH2][CH2][CH2][NH]c1nc([cH]c(n1)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  CCCCNc1nc(cc(n1)c1ccccc1)c1ccccc1  YAGSUW
[CH3]Oc1[cH][cH]c([CH3])c2C(=O)c3[cH][cH][cH][cH]c3C(=O)c12  COc1ccc(C)c2C(=O)c3ccccc3C(=O)c12  YAGWEK
[CH3][CH2]n1c(nc2[cH][cH][cH][cH]c12)[CH]=[CH]c1nc2[cH][cH][cH][cH]c2n1[CH2][CH3]  CCN1C(=Nc2ccccc12)C=CC1=Nc2ccccc2N1CC  YASRIU01
[OH][CH]1n2[cH][cH]nc2[CH]([OH])n2[cH][cH]nc12  OC1N2C=CN=C2C(O)N2C=CN=C12  YASSAN
[CH3]Oc1[cH][cH]c([CH2][NH]C(=O)C(=O)c2[cH][nH]c3[cH][cH][cH][cH]c23)[cH][cH]1  COc1ccc(CNC(=O)C(=O)C2=CNc3ccccc23)cc1  YEFXUD
[CH3]OC(=O)[CH]([CH]1[CH2][CH2][CH2]C(=O)[CH2]1)C(=O)O[CH3]  COC(=O)C(C1CCCC(=O)C1)C(=O)OC  YEGVUC
[CH3][CH2]OC(=O)c1[cH][cH]c([NH]C(=O)c2[cH][cH]c3[cH]c([cH][cH]c3[cH]2)C(=O)[NH]c2[cH][cH]c([cH][cH]2)C(=O)O[CH2][CH3])[cH][cH]1  CCOC(=O)c1ccc(NC(=O)c2ccc3cc(ccc3c2)C(=O)Nc2ccc(cc2)C(=O)OCC)cc1  YETRIZ
[CH3][CH2]OC(=O)c1[cH][cH]c([NH]C(=O)c2[cH][cH]c([cH][cH]2)C(=O)[NH]c2[cH][cH]c([cH][cH]2)C(=O)O[CH2][CH3])[cH][cH]1  CCOC(=O)c1ccc(NC(=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCC)cc1  YETROF
[OH][CH2][CH]1O[CH]([OH])[CH]([OH])[CH2][CH]1[OH]  OCC1OC(O)C(O)CC1O  YIGGIF
O=C1[CH](Oc2[cH][cH][cH][cH]c12)c1[cH][cH][cH][cH][cH]1  O=C1C(Oc2ccccc12)c1ccccc1  YIHFOL
[CH3][CH]([OH])C(=O)[OH]  CC(O)C(O)=O  YILLAG
[CH3][CH2][CH2][CH2]C12OC(=O)[CH2]C31[CH](N([CH3])c1[cH][cH][cH][cH]c31)C(=[CH]2)[CH3]  CCCCC12OC(=O)CC31C(N(C)c1ccccc31)C(=C2)C  YINKOW
[cH]1[cH][cH]c([cH][cH]1)c1nc2[cH][cH]c([cH]c2nc1c1[cH][cH][cH][cH][cH]1)c1[cH][cH]c2nc(c3[cH][cH][cH][cH][cH]3)c(nc2[cH]1)c1[cH][cH][cH][cH][cH]1  c1ccc(cc1)C1=Nc2ccc(cc2N=C1c1ccccc1)c1ccc2N=C(c3ccccc3)C(=Nc2c1)c1ccccc1  YIRMAO
[CH3]Oc1[cH][cH]c([cH][cH]1)C(=[CH]c1[cH]c(O[CH3])c([cH]c1O[CH3])[CH]=C(C#N)c1[cH][cH]c(O[CH3])[cH][cH]1)C#N  COc1ccc(cc1)C(=Cc1cc(OC)c(cc1OC)C=C(C#N)c1ccc(OC)cc1)C#N  YIVQEA
[CH3][CH2][CH2][NH]c1[cH][cH]c([cH]c1N(=O)=O)C(=O)O[CH2][CH3]  CCCNc1ccc(cc1N(=O)=O)C(=O)OCC  YODFUT
[OH]c1[cH][cH]c(c2C(=O)[CH]=[CH]C(=O)c12)N(=O)=O  Oc1ccc(c2C(=O)C=CC(=O)c12)N(=O)=O  YODKAE
[CH3]C(=Nn1nnnc1N=[N+]=[N-])[CH3]  CC(C)=NN1N=NN=C1N=[N+]=[N-]  YOHHIN
[CH3][CH]1[CH]2O[CH2][CH](N2C1=O)c1[cH][cH][cH][cH][cH]1  CC1C2OCC(N2C1=O)c1ccccc1  YOMKER01
[CH3]C(=O)O[CH]([CH2]OC(=O)c1[cH][cH][cH][cH][cH]1)[CH]1OC(=O)[CH]=[CH][CH]1OC(=O)[CH3]  CC(=O)OC(COC(=O)c1ccccc1)C1OC(=O)C=CC1OC(C)=O  YONWII
[cH]1[cH]nc2nc([cH]nc2[cH]1)c1[cH]nc2[cH][cH][cH]nc2n1  c1cnc2nc(cnc2c1)c1cnc2cccnc2n1  YOPSIG
[CH3]N([CH3])c1[cH][cH]c(c([cH]1)C(=O)N([CH3])[CH3])N(=O)=O  CN(C)c1ccc(c(c1)C(=O)N(C)C)N(=O)=O  YOTSUW
[CH3][CH2]OC(=O)c1c([CH](C#N)C(=O)[NH2])c2[cH][cH][cH][cH]c2n([CH2][CH3])c1=O  CCOC(=O)C1=C(C(C#N)C(N)=O)c2ccccc2N(CC)C1=O  YOWHAU
[CH3]OC(=O)C1=[CH]O[CH]=[CH]N1C(=O)OC([CH3])([CH3])[CH3]  COC(=O)C1=COC=CN1C(=O)OC(C)(C)C  YOXBAP
[CH3][CH]([CH3])C12[CH2][CH2]C([CH3])(O1)[CH]1[CH2][CH2]C([CH3])([OH])C31O[CH]23  CC(C)C12CCC(C)(O1)C1CCC(C)(O)C31OC23  YUGGIR
[CH3]n1c(=O)n([CH3])c2nc3[cH][cH][cH]c([CH3])c3nc2c1=O  CN1C(=O)N(C)c2nc3cccc(C)c3nc2C1=O  YUKPUQ
O=c1[nH]c(no1)c1noc(=O)[nH]1  O=C1NC(=NO1)C1=NOC(=O)N1  YUMPIG
[CH3]C1([CH3])O[CH2][CH](O1)[CH]1[CH2]C(=[CH2])[CH2][CH2]C21[CH2][CH2][CH2][CH2]N=[CH]C1([CH2][CH2][CH2][CH2]N=[CH]2)[CH2][CH2]C(=[CH2])[CH2][CH]1[CH]1[CH2]OC([CH3])([CH3])O1  CC1(C)OCC(O1)C1CC(=C)CCC21CCCCN=CC1(CCCCN=C2)CCC(=C)CC1C1COC(C)(C)O1  YUPZAL
[CH3]N([CH3])c1[cH][cH]c([cH][cH]1)[CH]=Nc1c([CH3])c(no1)[CH3]  CN(C)c1ccc(cc1)C=NC1=C(C)C(=NO1)C  YUPZUF
[CH3][CH2]OC(=O)C(=C([CH2][CH]([OH])c1[cH][cH]c([cH][cH]1)C#N)c1[cH][cH][cH][cH][cH]1)[CH3]  CCOC(=O)C(C)=C(CC(O)c1ccc(cc1)C#N)c1ccccc1  YURRIN
[CH3]c1c([cH]c(C#N)c(=O)[nH]1)c1[cH][cH]n[cH]c1[CH3]  CC1=C(C=C(C#N)C(=O)N1)c1ccncc1C  ZILFUV
[CH3]c1[cH]c([CH]=O)c([OH])c([cH]1)C([CH3])([CH3])[CH3]  Cc1cc(C=O)c(O)c(c1)C(C)(C)C  ZOJRAR01
